timestamp,total_time_s,images_generated,time_per_image_s,gpu_name,driver_version,ckpt_name
1754803186.3610072,301.3461,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754833175.356676,301.1881,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754841283.3543549,0.0102,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754844427.844616,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754844771.521109,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754844897.207525,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754844928.5717719,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754845078.4543412,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754845256.875231,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754845318.64412,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754845646.243946,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754845676.958377,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846119.498097,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846290.427422,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846316.227009,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846425.6457322,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846462.971039,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846601.165691,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846604.743495,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754846780.546242,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754924224.424215,0.0,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754926591.025748,301.3167,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1754948761.507086,301.2014,0,,CPU,N/A,unknown
1754953737.084278,301.574,0,,CPU,N/A,unknown
1755031482.6354072,301.4959,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1755031704.523446,80.554,1,80.554,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1755032728.004299,0.4533,1,0.4533,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1755033409.806452,301.5118,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1755033868.0322208,301.699,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1755039709.030485,301.1955,0,,CPU,N/A,juggernautXL_v8Rundiffusion.safetensors
1755041998.9101171,300.3344,0,,CPU,N/A,unknown
1755042012.7522612,301.2818,0,,CPU,N/A,unknown
